DATAFLOW,REF_AREA: Area,SDG_INDICATOR: SDG Indicator,SDG_SERIES: Series,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2011,92.86274
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2015,94.5
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2016,95
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2017,95
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),PHL: Philippines,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,2003,36.59
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),ARM: Armenia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2003,79.44
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),ARM: Armenia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2007,87.45
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),ARM: Armenia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2011,73.77
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,1995,94.3
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,1999,93.88
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2003,69.41004
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2006,73.08437
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2007,92
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2009,71.10454
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2011,95.45
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2012,76.73081
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2015,80.56102
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),PAK: Pakistan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2013,20
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),PAK: Pakistan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2014,61
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),PAK: Pakistan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2016,16.7
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),"HKG: Hong Kong, China",G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6095_443: Minimum proficiency in reading for grade 2/3, male (Percentage)",A: Annual,2001,95.09
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),"HKG: Hong Kong, China",G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6095_443: Minimum proficiency in reading for grade 2/3, male (Percentage)",A: Annual,2006,98.76
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),"HKG: Hong Kong, China",G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6095_443: Minimum proficiency in reading for grade 2/3, male (Percentage)",A: Annual,2011,98.87
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2013,49
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2015,87
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2015,96.7
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2016,95.9
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2017,95.9
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2011,99
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2013,97
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6100_443: Minimum proficiency in reading for primary, female (Percentage)",A: Annual,2015,91
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AZE: Azerbaijan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6101_443: Minimum proficiency in reading for primary, male (Percentage)",A: Annual,2011,79.87
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,1995,97.15
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,2003,98.1
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,2007,98.93
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,2011,99.02
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6084_443: Minimum proficiency in mathematics for grade 2/3, female (Percentage)",A: Annual,2015,98.84
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2001,90.20896
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2006,96.6549
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),SGP: Singapore,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2011,96.7191
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6102_443: Minimum proficiency in reading for primary, both sexes (Percentage)",A: Annual,2011,99
