DATAFLOW,REF_AREA: Area,THEME_INDICATOR: Indicator,THEME_SERIES: Series,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,9.44
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,10.49
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,10.49
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,10.49
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,19.54
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,19.54
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,17.62
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,8.89
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,13.93
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,8.96
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,11.79
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,7.9
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,7.96
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,9.84
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,7.91
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,7.57
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LKA: Sri Lanka,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,7.57
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),LAO: Lao PDR,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,13.58
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),BRN: Brunei Darussalam,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,3.32
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),PNG: Papua New Guinea,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,12.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,51.15
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,51.47
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,50.19
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,50.89
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,50.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,48.37
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,50.16
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,47.38
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,43.09
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,45.39
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,42.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,41.66
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,43.05
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,42.11
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,43.5
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,45.13
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),MYS: Malaysia,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,44.12
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,52.02
